ZIPCode,Reporting_Date,ChildEthnicityHispLatino,ChildRaceAmIndAlaNat,ChildRaceAsian,ChildRaceBlackAfriAmer,ChildRaceHawaiiPacific,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildDisability,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
76544,01/01/2022,8,*,*,28,*,9,*,28,20,*,12,24,12
76544,02/01/2022,8,*,*,29,*,9,*,29,20,*,13,23,13
76544,03/01/2022,7,*,*,29,*,9,*,29,20,*,12,25,13
77056,01/01/2022,12,*,*,16,*,12,*,23,12,*,10,9,16
77056,02/01/2022,12,*,*,20,*,12,*,23,16,*,12,11,16
77056,03/01/2022,12,*,*,20,*,12,*,23,16,*,11,12,16
77312,01/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
77312,02/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
77312,03/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
77568,01/01/2022,38,*,*,99,*,53,*,94,87,*,45,62,75
77568,02/01/2022,36,*,*,100,*,50,*,96,88,*,47,65,73
77568,03/01/2022,40,*,*,96,*,58,*,102,91,6,56,65,73
78336,01/01/2022,24,*,*,*,*,30,*,22,22,*,10,22,16
78336,02/01/2022,23,*,*,*,*,29,*,21,22,*,10,22,15
78336,03/01/2022,22,*,*,*,*,30,*,21,23,*,11,22,15
78592,01/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,02/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,03/01/2022,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,01/01/2022,61,*,*,*,*,34,*,36,37,*,25,27,21
79104,02/01/2022,58,*,*,*,*,33,*,34,37,*,24,26,21
79104,03/01/2022,57,*,*,*,*,32,*,33,37,*,24,26,20
79360,01/01/2022,28,*,*,*,*,33,*,22,19,*,16,15,10
79360,02/01/2022,28,*,*,*,*,33,*,22,19,*,13,18,10
79360,03/01/2022,27,*,*,*,*,36,*,21,19,*,11,19,10
75009,01/01/2022,*,*,*,10,*,8,*,14,9,*,10,12,*
75009,02/01/2022,*,*,*,10,*,7,*,13,8,*,9,11,*
75009,03/01/2022,5,*,*,10,*,8,*,14,8,*,8,13,*
76033,01/01/2022,27,*,*,12,*,66,*,51,42,*,26,40,27
76033,02/01/2022,23,*,*,11,*,64,*,50,41,*,27,40,24
76033,03/01/2022,23,*,*,11,*,68,5,53,43,*,29,42,25
76801,01/01/2022,64,*,*,13,*,154,*,88,90,*,50,71,60
76801,02/01/2022,58,*,*,12,*,146,*,83,90,*,46,72,58
76801,03/01/2022,64,*,*,12,*,160,*,91,98,*,51,78,63
