State_ID,ZIPCode,ReportingDate,TypeCC,Participation,Rating,AccrdStatus,PreKStandard,QualityMeasure,HeadStart,MonthlyAmtPaid
1573376,77320,10/01/2023,4,0,999,9,9,9,9,27140
1573376,77320,11/01/2023,4,0,999,9,9,9,9,26348
1573376,77320,12/01/2023,4,0,999,9,9,9,9,23574
853248,77479,10/01/2023,4,1,4st,2,9,0,9,2237
853248,77479,11/01/2023,4,1,4st,2,9,0,9,3984
853248,77479,12/01/2023,4,1,4st,2,9,0,9,3402
1709312,76018,10/01/2023,2,1,3st,2,9,0,9,2074
1709312,76018,11/01/2023,2,1,3st,2,9,0,9,2074
1709312,76018,12/01/2023,2,1,3st,2,9,0,9,1879
1711360,76112,10/01/2023,4,1,4st,2,9,0,9,27797
1711360,76112,11/01/2023,4,1,4st,2,9,0,9,21888
1711360,76112,12/01/2023,4,1,4st,2,9,0,9,19066
1780736,77099,10/01/2023,4,0,999,9,9,9,9,694
1780736,77099,11/01/2023,4,0,999,9,9,9,9,243
1780736,77099,12/01/2023,4,0,999,9,9,9,9,236
1781760,79556,10/01/2023,4,0,999,9,9,9,9,8801
1781760,79556,11/01/2023,4,0,999,9,9,9,9,13376
1781760,79556,12/01/2023,4,0,999,9,9,9,9,13381
411136,77053,10/01/2023,2,0,999,9,9,9,9,1302
411136,77053,11/01/2023,2,0,999,9,9,9,9,1302
411136,77053,12/01/2023,2,0,999,9,9,9,9,1248
1721856,78415,10/01/2023,3,0,999,9,9,9,9,2618
1721856,78415,11/01/2023,3,0,999,9,9,9,9,1838
1721856,78415,12/01/2023,3,0,999,9,9,9,9,1418
1658112,78041,10/01/2023,4,0,999,9,9,9,9,534
1658112,78041,11/01/2023,4,0,999,9,9,9,9,534
1658112,78041,12/01/2023,4,0,999,9,9,9,9,752
1661184,77406,10/01/2023,4,0,999,9,9,9,9,2574
1661184,77406,11/01/2023,4,0,999,9,9,9,9,4171
1661184,77406,12/01/2023,4,0,999,9,9,9,9,4260
875776,75007,10/01/2023,3,0,999,9,9,9,9,4445
875776,75007,11/01/2023,3,0,999,9,9,9,9,2968
875776,75007,12/01/2023,3,0,999,9,9,9,9,2735
1729024,78222,10/01/2023,2,0,999,9,9,9,9,1196
1729024,78222,11/01/2023,2,0,999,9,9,9,9,1086
1729024,78222,12/01/2023,2,0,999,9,9,9,9,1477
1533184,77478,10/01/2023,4,0,999,9,9,9,9,10302
1533184,77478,11/01/2023,4,0,999,9,9,9,9,10054
1533184,77478,12/01/2023,4,0,999,9,9,9,9,9475
1730560,77494,10/01/2023,4,1,999,1,9,0,9,25514
1730560,77494,11/01/2023,4,1,4st,2,9,0,9,28980
1730560,77494,12/01/2023,4,1,4st,2,9,0,9,28649
879616,78750,10/01/2023,4,0,999,9,9,9,9,1071
879616,78750,11/01/2023,4,0,999,9,9,9,9,1071
879616,78750,12/01/2023,4,0,999,9,9,9,9,1003
1534976,78750,10/01/2023,4,0,999,9,9,9,9,1809
1534976,78750,11/01/2023,4,0,999,9,9,9,9,2773
1534976,78750,12/01/2023,4,0,999,9,9,9,9,1198
1667072,79714,10/01/2023,4,0,999,9,9,9,9,28721
1667072,79714,11/01/2023,4,0,999,9,9,9,9,32785
1667072,79714,12/01/2023,4,0,999,9,9,9,9,31841
815616,75460,10/01/2023,4,1,3st,2,9,0,9,35805
815616,75460,11/01/2023,4,1,3st,2,9,0,9,34410
815616,75460,12/01/2023,4,1,3st,2,9,0,9,33120
1743616,75040,10/01/2023,8,7,999,9,9,9,9,156
1743616,75040,11/01/2023,8,7,999,9,9,9,9,156
1743616,75040,12/01/2023,8,7,999,9,9,9,9,33
827904,77571,10/01/2023,4,0,999,9,9,9,9,1278
827904,77571,11/01/2023,4,0,999,9,9,9,9,1239
827904,77571,12/01/2023,4,0,999,9,9,9,9,632
830464,77801,10/01/2023,4,0,999,9,9,9,9,5542
830464,77801,11/01/2023,4,0,999,9,9,9,9,8009
830464,77801,12/01/2023,4,0,999,9,9,9,9,8562
1486848,78735,10/01/2023,,0,999,9,9,9,9,2229
1486848,78735,11/01/2023,,0,999,9,9,9,9,2193
1486848,78735,12/01/2023,4,0,999,9,9,9,9,1224
1683968,77803,10/01/2023,4,1,3st,2,9,0,9,24279
1683968,77803,11/01/2023,4,1,3st,2,9,0,9,25578
1683968,77803,12/01/2023,4,1,3st,2,9,0,9,26115
177408,77015,10/01/2023,4,0,999,9,9,9,9,2776
177408,77015,11/01/2023,4,0,999,9,9,9,9,3129
177408,77015,12/01/2023,4,0,999,9,9,9,9,3245
505600,75224,10/01/2023,4,0,999,9,9,9,9,18431
833536,78223,10/01/2023,4,0,999,9,9,9,9,6889
833536,78223,11/01/2023,4,0,999,9,9,9,9,7964
833536,78223,12/01/2023,4,0,999,9,9,9,9,7672
244224,76801,10/01/2023,4,0,999,9,9,9,9,3246
244224,76801,11/01/2023,4,0,999,9,9,9,9,2432
512000,79606,10/01/2023,4,0,999,9,9,9,9,25059
512000,79606,11/01/2023,4,0,999,9,9,9,9,26310
512000,79606,12/01/2023,4,0,999,9,9,9,9,28495
57856,77004,10/01/2023,4,0,999,9,9,9,9,2724
57856,77004,11/01/2023,4,0,999,9,9,9,9,2116
57856,77004,12/01/2023,4,0,999,9,9,9,9,2276
1631744,75056,10/01/2023,4,0,999,9,9,9,9,21226
1631744,75056,11/01/2023,4,0,999,9,9,9,9,21828
1631744,75056,12/01/2023,4,0,999,9,9,9,9,20575
1697792,76424,10/01/2023,4,1,3st,2,9,0,9,33120
1697792,76424,11/01/2023,4,1,3st,2,9,0,9,32796
1697792,76424,12/01/2023,4,1,3st,2,9,0,9,31607
1763584,76443,10/01/2023,4,0,999,9,9,9,9,8592
1763584,76443,11/01/2023,4,0,999,9,9,9,9,9521
1763584,76443,12/01/2023,4,0,999,9,9,9,9,10114
191488,78801,10/01/2023,4,1,4st,2,9,0,9,14590
191488,78801,11/01/2023,4,1,4st,2,9,0,9,16282
191488,78801,12/01/2023,4,1,4st,2,9,0,9,15827
1569024,77045,10/01/2023,4,1,3st,2,9,0,9,22926
1569024,77045,11/01/2023,4,1,3st,2,9,0,9,26479
1569024,77045,12/01/2023,4,1,3st,2,9,0,9,24690
1702656,77018,10/01/2023,4,1,999,1,9,0,9,854
1702656,77018,11/01/2023,4,1,999,1,9,0,9,854
1702656,77018,12/01/2023,4,1,999,1,9,0,9,812
1704449,76308,10/01/2023,4,1,2st,2,9,0,9,4090
1704449,76308,11/01/2023,4,1,2st,2,9,0,9,3858
1704449,76308,12/01/2023,4,1,2st,2,9,0,9,3587
1516545,79110,10/01/2023,3,1,3st,2,9,0,9,1570
1516545,79110,11/01/2023,3,1,3st,2,9,0,9,1570
1516545,79110,12/01/2023,3,1,3st,2,9,0,9,1480
1780737,77092,10/01/2023,4,0,999,9,9,9,9,24
1780737,77092,11/01/2023,4,0,999,9,9,9,9,143
1780737,77092,12/01/2023,4,0,999,9,9,9,9,84
863489,78577,10/01/2023,4,1,4st,2,9,0,9,15480
863489,78577,11/01/2023,4,1,4st,2,9,0,9,14334
863489,78577,12/01/2023,4,1,4st,2,9,0,9,13483
536577,78219,10/01/2023,4,0,999,9,9,9,9,6517
536577,78219,11/01/2023,4,0,999,9,9,9,9,6453
536577,78219,12/01/2023,4,0,999,9,9,9,9,5725
1782017,78119,10/01/2023,4,0,999,9,9,9,9,6995
1782017,78119,11/01/2023,4,0,999,9,9,9,9,7711
1782017,78119,12/01/2023,4,0,999,9,9,9,9,8226
1721089,77901,12/01/2023,4,0,999,9,9,9,9,699
1593089,76549,10/01/2023,4,0,999,9,9,9,9,14739
1593089,76549,11/01/2023,4,0,999,9,9,9,9,15692
1593089,76549,12/01/2023,4,0,999,9,9,9,9,15665
1527809,75602,10/01/2023,3,0,999,9,9,9,9,3838
1527809,75602,11/01/2023,3,0,999,9,9,9,9,4552
1527809,75602,12/01/2023,3,0,999,9,9,9,9,4712
545025,76837,10/01/2023,4,1,3st,2,9,0,9,1996
545025,76837,11/01/2023,4,1,3st,2,9,0,9,1506
545025,76837,12/01/2023,4,1,3st,2,9,0,9,1346
1726465,76039,10/01/2023,4,0,999,9,9,9,9,7662
1726465,76039,11/01/2023,4,0,999,9,9,9,9,7197
1726465,76039,12/01/2023,4,0,999,9,9,9,9,7414
420097,79907,10/01/2023,3,0,999,9,9,9,9,984
420097,79907,11/01/2023,3,0,999,9,9,9,9,984
420097,79907,12/01/2023,3,0,999,9,9,9,9,939
879105,75503,10/01/2023,4,1,4st,2,9,0,9,354
879105,75503,11/01/2023,4,1,4st,2,9,0,9,302
879105,75503,12/01/2023,4,1,4st,2,9,0,9,259
1732097,75601,10/01/2023,4,0,999,9,9,9,9,14327
1732097,75601,11/01/2023,4,0,999,9,9,9,9,12692
1732097,75601,12/01/2023,4,0,999,9,9,9,9,14369
1734145,78559,10/01/2023,4,0,999,9,9,9,9,14979
1734145,78559,11/01/2023,4,0,999,9,9,9,9,14909
1734145,78559,12/01/2023,4,0,999,9,9,9,9,14143
233729,79424,10/01/2023,4,0,999,9,9,9,9,2607
233729,79424,11/01/2023,4,0,999,9,9,9,9,2243
233729,79424,12/01/2023,4,0,999,9,9,9,9,1513
1741569,78404,10/01/2023,4,0,999,9,9,9,9,8673
1741569,78404,11/01/2023,4,0,999,9,9,9,9,9142
1741569,78404,12/01/2023,4,0,999,9,9,9,9,8121
1678593,78653,10/01/2023,2,0,999,9,9,9,9,517
1747969,76861,10/01/2023,4,0,999,9,9,9,9,2120
1747969,76861,11/01/2023,4,0,999,9,9,9,9,590
1355009,78046,10/01/2023,4,1,4st,2,9,0,9,33127
1355009,78046,11/01/2023,4,1,4st,2,9,0,9,31337
1355009,78046,12/01/2023,4,1,4st,2,9,0,9,26335
1749249,75770,10/01/2023,3,0,999,9,9,9,9,896
1749249,75770,11/01/2023,3,0,999,9,9,9,9,887
1749249,75770,12/01/2023,3,0,999,9,9,9,9,829
836097,77471,10/01/2023,4,0,999,9,9,9,9,23778
836097,77471,11/01/2023,4,0,999,9,9,9,9,26077
836097,77471,12/01/2023,4,0,999,9,9,9,9,27225
1689345,77320,10/01/2023,4,0,999,9,9,9,9,1383
1689345,77320,11/01/2023,4,0,999,9,9,9,9,1236
1689345,77320,12/01/2023,4,0,999,9,9,9,9,902
1626881,79424,10/01/2023,4,1,4st,2,9,0,9,12449
1626881,79424,11/01/2023,4,1,4st,2,9,0,9,12173
1626881,79424,12/01/2023,4,1,4st,2,9,0,9,10723
1757953,78666,10/01/2023,2,0,999,9,9,9,9,1583
1757953,78666,11/01/2023,2,0,999,9,9,9,9,781
1757953,78666,12/01/2023,2,0,999,9,9,9,9,617
1563905,79930,10/01/2023,8,7,999,9,9,9,9,327
1563905,79930,11/01/2023,8,7,999,9,9,9,9,207
