ZIPCode,ReportingDate,ReasonCC_Emp,ReasonCC_Ed,ReasonCC_EmpEd,ReasonCC_PS,ReasonCC_FedEmEmp,ReasonCC_FedEmEd,ReasonCC_FedEmEmpEd,ReasonCC_FedEmPS,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,FamilyMilitary,PrimLang_1,PrimLang_2,PrimLang_3,PrimLang_4,PrimLang_5,PrimLang_6,PrimLang_7,PrimLang_8,PrimLang_9,PrimLang_10,PrimLang_11,PrimLang_12
76544,01/01/2022,15,*,*,*,*,*,*,*,4,2051,9,*,*,21,*,*,*,*,*,*,*,*,*,*,*
76544,02/01/2022,16,*,*,*,*,*,*,*,4,2051,9,*,*,22,*,*,*,*,*,*,*,*,*,*,*
76544,03/01/2022,16,*,*,*,*,*,*,*,4,1944,10,*,*,22,*,*,*,*,*,*,*,*,*,*,*
77056,01/01/2022,17,*,*,*,*,*,*,*,3,2174,20,*,*,20,*,*,*,*,*,*,*,*,*,*,*
77056,02/01/2022,18,*,*,*,*,*,*,*,3,1942,23,*,*,23,*,*,*,*,*,*,*,*,*,*,*
77056,03/01/2022,17,*,*,*,*,*,*,*,3,1971,23,*,*,23,*,*,*,*,*,*,*,*,*,*,*
77312,01/01/2022,*,*,*,*,*,*,*,*,4,1800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77312,02/01/2022,*,*,*,*,*,*,*,*,4,1800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77312,03/01/2022,*,*,*,*,*,*,*,*,4,1800,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
77568,01/01/2022,74,6,*,*,*,*,6,6,3,2150,92,*,*,91,*,*,*,*,*,*,*,*,*,*,*
77568,02/01/2022,75,6,*,*,*,*,8,8,3,2137,95,*,*,94,*,*,*,*,*,*,*,*,*,*,*
77568,03/01/2022,74,6,*,*,*,*,12,12,3,2002,98,*,*,98,*,*,*,*,*,*,*,*,*,*,*
78336,01/01/2022,22,*,*,*,*,*,*,*,3,1756,25,*,*,30,*,*,*,*,*,*,*,*,*,*,*
78336,02/01/2022,21,*,*,*,*,*,*,*,3,1750,24,*,*,29,*,*,*,*,*,*,*,*,*,*,*
78336,03/01/2022,21,*,*,*,*,*,*,*,3,1954,25,*,*,30,*,*,*,*,*,*,*,*,*,*,*
78592,01/01/2022,*,*,*,*,*,*,*,*,4,1985,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,02/01/2022,*,*,*,*,*,*,*,*,4,1985,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
78592,03/01/2022,*,*,*,*,*,*,*,*,4,2284,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
79104,01/01/2022,36,*,*,*,*,*,5,5,4,1816,37,*,*,36,*,*,*,*,*,*,*,*,*,*,8
79104,02/01/2022,35,*,*,*,*,*,5,5,4,1789,36,*,*,35,*,*,*,*,*,*,*,*,*,*,8
79104,03/01/2022,34,*,*,*,*,*,6,6,4,1830,36,*,*,33,*,*,*,*,*,*,*,*,*,*,10
