ZIPCode,ChildEthnicityHispLatino,ChildRaceBlackAfriAmer,ChildRaceWhite,ChildRaceMult,ChildMale,ChildFemale,ChildAgeInfantToddler,ChildAgePrek,ChildAgeSchAge
78702,21.0,46.0,19.0,5.0,44.0,28.0,26.0,32.0,14.0
78702,20.0,43.0,18.0,5.0,39.0,29.0,21.0,34.0,13.0
78702,21.0,45.0,22.0,2.5,42.0,31.0,25.0,34.0,14.0
78702,23.0,49.0,22.0,2.5,46.0,31.0,28.0,34.0,15.0
78702,28.0,50.0,27.0,2.5,50.0,33.0,27.0,39.0,17.0
78702,29.0,52.0,28.0,8.0,57.0,34.0,31.0,39.0,21.0
78702,29.504065040650406,52.0,28.504065040650406,7.495934959349594,55.99186991869919,34.50406504065041,31.252032520325205,38.49593495934959,20.747967479674795
78702,30.008130081300813,52.0,29.008130081300813,6.991869918699187,54.983739837398375,35.00813008130081,31.504065040650406,37.99186991869919,20.495934959349594
78702,30.495934959349594,52.0,29.495934959349594,6.504065040650406,54.00813008130081,35.4959349593496,31.7479674796748,37.5040650406504,20.2520325203252
78702,31.0,52.0,30.0,6.0,53.0,36.0,32.0,37.0,20.0
78702,34.0,50.0,33.0,6.0,54.0,36.0,35.0,34.0,21.0
78702,33.0,48.0,33.0,6.0,52.0,36.0,29.0,37.0,22.0
78702,36.0,58.0,34.0,6.0,55.0,44.0,38.0,38.0,23.0
78702,37.0,57.0,35.0,6.0,56.0,44.0,37.0,40.0,23.0
78702,36.0,57.0,34.0,6.0,55.0,44.0,35.0,41.0,23.0
78702,36.0,57.0,34.0,5.0,55.0,43.0,34.0,41.0,23.0
78702,42.0,61.0,39.0,5.0,62.0,46.0,37.0,45.0,26.0
78702,37.0,61.0,32.0,6.0,60.0,44.0,35.0,46.0,23.0
78702,34.0,46.0,30.0,6.0,53.0,34.0,30.0,38.0,19.0
78702,35.0,47.0,31.0,6.0,54.0,35.0,33.0,35.0,21.0
78702,33.0,41.0,31.0,5.0,46.0,35.0,32.0,28.0,21.0
78702,34.764227642276424,43.77235772357724,33.26829268292683,6.008130081300813,49.27642276422764,37.26829268292683,33.00813008130081,31.024390243902438,22.51219512195122
78702,36.47154471544715,46.45528455284553,35.46341463414634,6.983739837398375,52.447154471544714,39.46341463414634,33.983739837398375,33.951219512195124,23.975609756097562
78702,38.235772357723576,49.22764227642276,37.73170731707317,7.991869918699187,55.72357723577236,41.73170731707317,34.99186991869919,36.97560975609756,25.48780487804878
78702,40.0,52.0,40.0,9.0,59.0,44.0,36.0,40.0,27.0
78702,42.0,53.0,42.0,9.0,62.0,45.0,37.0,43.0,27.0
78702,44.0,52.0,45.0,9.0,59.0,50.0,36.0,43.0,30.0
78702,48.0,58.0,47.0,10.0,64.0,54.0,39.0,45.0,34.0
78702,50.0,62.0,49.0,7.0,64.0,60.0,42.0,47.0,35.0
78702,44.0,66.0,42.0,7.0,65.0,57.0,43.0,48.0,31.0
78702,48.0,66.0,40.0,7.0,64.0,56.0,41.0,46.0,33.0
78702,52.0,69.0,43.0,7.0,69.0,57.0,36.0,53.0,37.0
78702,47.0,58.0,40.0,7.0,61.0,51.0,35.0,43.0,34.0
78702,43.0,51.0,37.0,5.0,57.0,44.0,27.0,44.0,30.0
78702,45.0,56.0,38.0,5.0,61.0,47.0,27.0,50.0,31.0
78702,48.0,60.0,36.0,5.0,60.0,49.0,25.0,50.0,34.0
78702,55.0,64.0,41.0,2.5,61.0,55.0,21.0,57.0,38.0
78702,54.0,62.0,40.0,2.5,61.0,55.0,22.0,57.0,37.0
78702,54.0,63.0,43.0,2.5,61.0,54.0,21.0,57.0,37.0
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
78703,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
