Reporting_Date,ZIPCode,ReasonCC_Emp,AvgFamilySize,AvgMonthlyIncome,SingleParent,FamilyHomeless,PrimLang_1
2021-01-31,78702,35.0,3.0,2057.0,42.0,2.5,43.0
2021-02-28,78702,33.0,3.0,2086.0,39.0,2.5,40.0
2021-03-31,78702,37.0,3.0,2069.0,44.0,2.5,46.0
2021-04-30,78702,37.0,3.0,1968.0,47.0,2.5,48.0
2021-05-31,78702,42.0,3.0,2048.0,52.0,2.5,52.0
2021-06-30,78702,43.0,3.0,1976.0,55.0,2.5,56.0
2021-07-31,78702,41.48780487804878,3.0,1965.4146341463415,53.48780487804878,2.5,54.739837398373986
2021-08-31,78702,39.97560975609756,3.0,1954.8292682926829,51.97560975609756,2.5,53.479674796747965
2021-09-30,78702,38.51219512195122,3.0,1944.5853658536585,50.51219512195122,2.5,52.260162601626014
2021-10-31,78702,37.0,3.0,1934.0,49.0,2.5,51.0
2021-11-30,78702,38.0,3.0,1936.0,50.0,2.5,52.0
2021-12-31,78702,37.0,3.0,2058.0,50.0,2.5,51.0
2022-01-31,78702,40.0,3.0,2153.0,54.0,2.5,55.0
2022-02-28,78702,41.0,3.0,2146.0,55.0,2.5,56.0
2022-03-31,78702,41.0,3.0,2150.0,55.0,2.5,55.0
2022-04-30,78702,41.0,3.0,2106.0,54.0,2.5,54.0
2022-05-31,78702,45.0,3.0,2109.0,58.0,2.5,58.0
2022-06-30,78702,39.0,3.0,1831.0,54.0,2.5,54.0
2022-07-31,78702,38.0,3.0,2043.0,49.0,6.0,49.0
2022-08-31,78702,39.0,3.0,2044.0,49.0,6.0,49.0
2022-09-30,78702,36.0,3.0,2114.0,47.0,5.0,47.0
2022-10-31,78702,37.00813008130081,3.0,2018.7317073170732,50.02439024390244,6.512195121951219,49.77235772357724
2022-11-30,78702,37.983739837398375,3.0,1926.5365853658536,52.951219512195124,7.975609756097561,52.45528455284553
2022-12-31,78702,38.99186991869919,3.0,1831.2682926829268,55.97560975609756,9.487804878048781,55.22764227642276
2023-01-31,78702,40.0,3.0,1736.0,59.0,11.0,58.0
2023-02-28,78702,42.0,3.0,1668.0,62.0,11.0,61.0
2023-03-31,78702,39.0,3.0,1626.0,61.0,12.0,60.0
2023-04-30,78702,43.0,3.0,1583.0,67.0,14.0,66.0
2023-05-31,78702,44.0,3.0,1645.0,70.0,14.0,69.0
2023-06-30,78702,42.0,3.0,1615.0,68.0,14.0,67.0
2023-07-31,78702,40.0,3.0,1569.0,66.0,15.0,66.0
2023-08-31,78702,39.0,3.0,1541.0,66.0,14.0,66.0
2023-09-30,78702,37.0,3.0,1594.0,61.0,12.0,62.0
2023-10-31,78702,36.0,3.0,1671.0,57.0,9.0,57.0
2023-11-30,78702,38.0,3.0,1875.0,58.0,9.0,58.0
2023-12-31,78702,37.0,3.0,1900.0,56.0,9.0,56.0
2024-01-31,78702,39.0,4.0,1796.0,58.0,9.0,58.0
2024-02-29,78702,39.0,4.0,1814.0,58.0,9.0,58.0
2024-03-31,78702,39.0,4.0,1929.0,57.0,8.0,56.0
2021-01-31,78703,2.5,2.0,3198.0,2.5,2.5,2.5
2021-02-28,78703,2.5,2.0,3198.0,2.5,2.5,2.5
2021-03-31,78703,2.5,2.0,3198.0,2.5,2.5,2.5
2021-04-30,78703,2.5,2.0,3198.0,2.5,2.5,2.5
2021-05-31,78703,2.5,2.0,3198.0,2.5,2.5,2.5
2021-06-30,78703,2.5,2.0,3198.0,2.5,2.5,2.5
2021-07-31,78703,2.5,2.0,3337.121951219512,2.5,2.5,2.5
2021-08-31,78703,2.5,2.0,3476.243902439024,2.5,2.5,2.5
2021-09-30,78703,2.5,2.0,3610.878048780488,2.5,2.5,2.5
2021-10-31,78703,2.5,2.0,3750.0,2.5,2.5,2.5
2021-11-30,78703,2.5,2.0,3750.0,2.5,2.5,2.5
2021-12-31,78703,2.5,2.0,3750.0,2.5,2.5,2.5
2022-01-31,78703,2.5,2.0,3750.0,2.5,2.5,2.5
2022-02-28,78703,2.5,2.0,3750.0,2.5,2.5,2.5
2022-03-31,78703,2.5,2.0,3750.0,2.5,2.5,2.5
2022-04-30,78703,2.5,2.0,3750.0,2.5,2.5,2.5
2022-05-31,78703,2.5,4.0,4471.0,2.5,2.5,2.5
2022-06-30,78703,2.5,4.0,4471.0,2.5,2.5,2.5
2022-07-31,78703,2.5,4.0,4471.0,2.5,2.5,2.5
2022-08-31,78703,2.5,4.0,4471.0,2.5,2.5,2.5
2022-09-30,78703,2.5,4.0,4555.0,2.5,2.5,2.5
2022-10-31,78703,2.5,4.0,4555.0,2.5,2.5,2.5
2022-11-30,78703,2.5,4.0,4555.0,2.5,2.5,2.5
2022-12-31,78703,2.5,4.0,4555.0,2.5,2.5,2.5
2023-01-31,78703,2.5,4.0,4555.0,2.5,2.5,2.5
2023-02-28,78703,2.5,4.0,4555.0,2.5,2.5,2.5
2023-03-31,78703,2.5,4.0,4555.0,2.5,2.5,2.5
2023-04-30,78703,2.5,4.0,4555.0,2.5,2.5,2.5
2023-05-31,78703,2.5,4.0,4517.0,2.5,2.5,2.5
2023-06-30,78703,2.5,4.0,4517.0,2.5,2.5,2.5
2023-07-31,78703,2.5,4.0,4517.0,2.5,2.5,2.5
2023-08-31,78703,2.5,3.0,4522.0,2.5,2.5,2.5
2023-09-30,78703,2.5,3.0,4522.0,2.5,2.5,2.5
2023-10-31,78703,2.5,4.0,5126.0,2.5,2.5,2.5
2023-11-30,78703,2.5,4.0,5126.0,2.5,2.5,2.5
2023-12-31,78703,2.5,4.0,5126.0,2.5,2.5,2.5
2024-01-31,78703,2.5,4.0,4429.0,2.5,2.5,2.5
2024-02-29,78703,2.5,4.0,4429.0,2.5,2.5,2.5
2024-03-31,78703,2.5,4.0,4429.0,2.5,2.5,2.5
2021-01-31,78704,27.0,3.0,2110.0,34.0,2.5,34.0
2021-02-28,78704,26.0,3.0,2151.0,32.0,2.5,32.0
2021-03-31,78704,28.0,3.0,2243.0,33.0,2.5,34.0
2021-04-30,78704,32.0,3.0,2203.0,38.0,2.5,40.0
2021-05-31,78704,36.0,3.0,2283.0,41.0,2.5,42.0
2021-06-30,78704,36.0,3.0,2208.0,43.0,2.5,44.0
2021-07-31,78704,35.49593495934959,3.0,2188.5934959349593,43.50406504065041,2.5,44.2520325203252
2021-08-31,78704,34.99186991869919,3.0,2169.1869918699185,44.00813008130081,2.5,44.50406504065041
2021-09-30,78704,34.5040650406504,3.0,2150.4065040650407,44.4959349593496,2.5,44.7479674796748
2021-10-31,78704,34.0,3.0,2131.0,45.0,2.5,45.0
2021-11-30,78704,35.0,3.0,2124.0,45.0,2.5,45.0
2021-12-31,78704,34.0,3.0,2185.0,44.0,2.5,44.0
2022-01-31,78704,39.0,4.0,2132.0,48.0,2.5,49.0
2022-02-28,78704,40.0,4.0,2145.0,48.0,2.5,49.0
2022-03-31,78704,39.0,4.0,2059.0,50.0,2.5,51.0
2022-04-30,78704,38.0,3.0,2004.0,50.0,2.5,49.0
2022-05-31,78704,39.0,3.0,2023.0,50.0,2.5,49.0
2022-06-30,78704,37.0,3.0,1991.0,49.0,2.5,48.0
2022-07-31,78704,37.0,3.0,1977.0,50.0,5.0,49.0
2022-08-31,78704,42.0,3.0,2104.0,53.0,2.5,52.0
2022-09-30,78704,40.0,3.0,2206.0,49.0,2.5,48.0
2022-10-31,78704,39.24390243902439,3.0,2199.951219512195,47.99186991869919,2.5,46.99186991869919
2022-11-30,78704,38.51219512195122,3.0,2194.0975609756097,47.016260162601625,2.5,46.016260162601625
2022-12-31,78704,37.75609756097561,3.0,2188.048780487805,46.00813008130081,2.5,45.00813008130081
2023-01-31,78704,37.0,3.0,2182.0,45.0,2.5,44.0
2023-02-28,78704,40.0,3.0,2147.0,49.0,2.5,48.0
2023-03-31,78704,40.0,3.0,2487.0,46.0,2.5,48.0
2023-04-30,78704,38.0,3.0,2468.0,43.0,2.5,45.0
